ArticleId,Headline,Description,Date
27,"After CM Yogi's directives, over 500 illegal loudspeakers removed in Old Lucknow ","More than 500 illegal loudspeakers have been removed from religious places in Old Lucknow. At many places, the volume of the loudspeakers was asked to be reduced as per the regulations.As per the government orders, illegal loudspeakers would be removed from all religious places and noise from the remaining ones would be regulated in accordance with court directions. This comes after Uttar Pradesh Chief Minister Yogi Adityanath’s directives to restrict the volume of loudspeakers.Following the clashes in Jahangirpuri in Delhi, the Uttar Pradesh government ordered special measures in order to ensure peace and harmony prevails during the religious festivals of Eid and Akdhay Tritya, which are likely to fall on the same day early next month.The special measures also include no permissions be granted for any loudspeakers in the state.District Saharanpur’s Police Chief, Akash Tomar said in a statement, ""According to court and government guidelines, there are limits on sound from loudspeakers and one needs permission for loudspeakers. We spoke to religious leaders and caretakers of temples and mosques and over 500 loudspeakers have been taken down voluntarily in the district. This exercise will continue for a few days.""Additional Chief Secretary (Home), Avinash Avasthi said that all the Station House Officers (SHOs) of the state have been asked to talk to the religious heads of their regions and peacefully get the loudspeakers removed immediately.However, loudspeakers installed in the mosque were removed without permission in Mahmoodnagar of Harraiya police station area.",2022-04-27
28,"'Be responsible': Andhra CM tells officials after incidents at Tirupati, Vijayawada hospitals","Andhra Pradesh Chief Minister Jagan Mohan Reddy on Wednesday held a review meeting with health officials following incidents at Tirupati and Vijayawada hospitals and called for strict measures to prevent such incidents from happening again.A father of a 10-year-old boy who died at RUIA government Hospital of Tirupati was forced to carry his dead son on a motorcycle after the hospital ambulance demanded large amount of money from him.The incident took place on Monday night at RUIA government Hospital of Tirupati where a 10-year-old boy from Chitwel Mandal village died after treatment.READ | No ambulance, Andhra man carries son's body on bike for 90 kmJagan Mohan Reddy said, ""One or two such incidents will tarnish the reputation of the system. The numbers for lodging complaints should be displayed at Arogya Mitra kiosks. The numbers should be made clearly visible on 104, 108 and Thalli Bidda vehicles. It is necessary to strengthen the SOPs and protocols followed.""The chief minister also directed the officials to be on alert and set up an effective protocol to ensure it is not repeated.Meanwhile, reacting to the incident in Vijayawada where a differently-abled woman was allegedly gang-raped in a government hospital, Reddy asked police officials to remain vigilant and strictly enforce measures to prevent such incidents from happening. The CI and SI were suspended due to their negligence.""The police department needs to come up with stronger protocols and monitoring systems. There is a purpose you are in government service. You cannot misuse it at this level. Be responsible,"" he said.",2022-04-27
29,Double murder rocks Prayagraj as two shot dead over property dispute ,"Two people were allegedly shot dead over a property dispute in Uttar Pradesh's Prayagraj on Wednesday, triggering panic in the area. The two victims, identified as Yasid Ali and Saultan Ahmed, were shot dead by one Deepak Vishwakarma in Chak Meera Patti locality under Dhoomanganj police station limits on Wednesday.The accused, Deepak Vishwakarma, is a property dealer and the two groups were at loggerheads owing to an old property-related issue.Their bodies were found in a house, following which the police were alerted. Police officials reached the crime scene after receiving the information and took the victims to the nearby hospital, but the doctors declared them dead.SSP, Prayagraj, Ajay Kumar said, ""Four people, Yasin Ali, Sultan Ahmed, Imran Ali and Rasool Ahmed, all property dealers came to meet Deepak at his home. The two groups fought over a flat spread across 900 square feet, which led to a clash. All the four people had stamp papers and they forced Deepak to transfer the property in their names due to which the accused took out a gun and opened fire at Yasin and Sultan.""The victims sustained serious bullet injuries and a Forensic Science Laboratory (FSL) team and dog squads were pressed into service for a further investigation. Police said that the accused has been arrested and he confessed to his crime.ALSO READ| Amritsar: Class 12 student shot dead, probe underway""We have also taken Imran Ali and Rasool Ahmed into police custody and are questioning them. We have recovered two country-made pistols and cartridges from the spot.""""The accused, Deepak Vishwakarma, has confessed to his crime of firing at two people and his statement has been recorded. We are investigating the case from all angles and further action will be taken as per law. We have arrested Ali and Ahmed and they are being questioned to crack the case. Further action will be taken based on the complaint,"" the SSP said.ALSO READ| 6-year-old girl raped during wedding procession in UP's PrayagrajALSO READ| Couple stabbed to death in UP over old rivalry; case filed",2022-04-27
30,Supernatural star Misha Collins clarifies he is not bisexual,"American actor Misha Collins, popular for his role in the television series Supernatural, clarified that he is not bisexual after he declared so at an event in New Jersey. The actor took to Twitter on Tuesday and apologised for ""misspeaking"" and ""the clumsiness of my language"".While addressing the crowd at a Supernatural fan convention this weekend, the actor said, “By a show of force, how many of you would consider yourself introverts? How many extroverts? And how many bisexuals?” He then said, “I am all three.""However, in a series of tweets, he addressed the incident and said that is straight. In fact, he also called himself a fierce ally of the LGBTQ community.My clumsy intention was to wave off actually discussing my sexuality, but I badly fumbled that and understand that was seen as me coming out as bisexual. 2/5“This was not my intention so I need to correct the record: I am not bisexual. I happen to be straight, but I am also a fierce ally and the last thing I want to do is falsely co-opt the struggles of the LGBTQIA+ community,” he wrote in a tweet.“My clumsy intention was to wave off actually discussing my sexuality, but I badly fumbled that and understand that was seen as me coming out as bisexual,” he wrote in another tweet.I am deeply sorry for the clumsiness of my language. I want to be a better ally and I feel sick to my stomach that I might have done anything to make things worse. I’m trying to learn, trying to do better and I will keep listening.Thanks and I’m sorry,Misha5/5“I am deeply sorry for the clumsiness of my language. I want to be a better ally and I feel sick to my stomach that I might have done anything to make things worse. I’m trying to learn, trying to do better and I will keep listening,” he concluded.",2022-04-27
31,Ajay Devgn admits 'something was lost in translation' to Kiccha Sudeep,"The Twitter spat between Ajay Devgn and Kiccha Sudeep is going viral on the Internet. It all started after Sudeep's statement “Hindi is no more a national language” created waves on the Internet. Ajay took a sarcastic dig at Sudeep's statement and the latter, in return, replied with a series of tweets. And now, Ajay has yet again reacted to Sudeep's tweets.Kiccha Sudeep's 'Hindi is no more a national language' comment irked Ajay Devgn. But, after Kiccha Sudeep's clarification, Ajay Devgn admitted that 'perhaps, something was lost in translation. Calling him his 'friend', Ajay added that the film industry is one. Ajay wrote, ""Hi @KicchaSudeep, You are a friend. thanks for clearing up the misunderstanding. I’ve always thought of the film industry as one. We respect all languages and we expect everyone to respect our language as well. Perhaps, something was lost in translation (sic).""Hi @KicchaSudeep, You are a friend. thanks for clearing up the misunderstanding. I’ve always thought of the film industry as one. We respect all languages and we expect everyone to respect our language as well. Perhaps, something was lost in translationReplying to Ajay again, Kiccha wrote, ""Translation & interpretations are perspectives sir. Tats the reason not reacting wothout knowing the complete matter,,,matters.:) I don't blame you @ajaydevgn sir. Perhaps it would have been a happy moment if i had received a tweet from u for a creative reason. Luv&Regards (sic).""Translation & interpretations are perspectives sir. Tats the reason not reacting wothout knowing the complete matter,,,matters.:)I don't blame you @ajaydevgn sir. Perhaps it would have been a happy moment if i had received a tweet from u for a creative reason.Luv&Regards https://t.co/lRWfTYfFQiAs the debate on Kiccha Sudeep’s ""Hindi is no more a national language"" statement snowballed into a debate, Ajay Devgn wrote a tweet to the Kannada actor in Hindi. There, he opposed the former’s thoughts. Replying to him, Kiccha Sudeep wrote, “Hello @ajaydevgn sir.. the context to why i said tat line is entirely different to the way I guess it has reached you. Probably wil emphasis on why the statement was made when I see you in person. It wasn't to hurt,Provoke or to start any debate. Why would I sir (sic).""His next tweet read, “I love and respect every language of our country sir. I would want this topic to rest,,, as I said the line in a totally different context. Mch luv and wshs to you always. Hoping to seeing you soon (sic).”Kiccha Sudeep’s last tweet in the series mentions that he understood Ajay’s text despite the fact that it was written in Hindi and it is because the language is respected, loved and learnt. Kiccha Sudeep wondered what Ajay’s response would be if he replied in Kannada. “And sir @ajaydevgn,,I did understand the txt you sent in hindi. Tats only coz we all have respected,loved and learnt hindi. No offense sir,,,but was wondering what'd the situation be if my response was typed in kannada.!! Don't we too belong to India sir (sic).”Hello @ajaydevgn sir.. the context to why i said tat line is entirely different to the way I guess it has reached you. Probably wil emphasis on why the statement was made when I see you in person. It wasn't to hurt,Provoke or to start any debate. Why would I sir https://t.co/w1jIugFid6And sir @ajaydevgn ,,I did understand the txt you sent in hindi. Tats only coz we all have respected,loved and learnt hindi.No offense sir,,,but was wondering what'd the situation be if my response was typed in kannada.!!Don't we too belong to India sir.In an exclusive interview with KarnatakaTak, Kiccha Sudeep said, ""Hindi is no more a national language."" Reacting to the pan-India success of films like KGF: Chapter 2, Pushpa: The Rise and others, he added, ""Because we come from South India, they started terming us 'pan-India'. Why isn't Hindi [cinema] being said as pan-India?""Superstar language wars | #AjayDevgn vs South star #KicchaSudeep#5iveLive | @ShivAroor, @nagarjund, @nabilajamal_, @Akshita_N pic.twitter.com/LKv0hZCVaRThis didn’t go down well with Ajay Devgn, who tweeted to Sudeep, “Kiccha Sudeep, my brother, according to you if Hindi is not our national language then why do you release your native language (mother tongue) films by dubbing them in Hindi? Hindi was, is and always will be our mother tongue and national language. Jan Gan Man (sic).”.@KicchaSudeep ,?,Ajay Devgn and Kiccha Sudeep’s tweets are going viral on social media.",2022-04-27
32,Mumbai: Anti-Narcotics Cell seize drugs worth over Rs 76 lakh ,"The Anti-Narcotics Cell of Mumbai has arrested two drug traffickers and seized around 508 grams of Mephedrone. The seized drug is worth around Rs 76.2 lakh.Acting on a tip received by police, a raid was conducted at the residence of the accused Abid Shaikh, near JJ hospital in South Mumbai on Tuesday evening.Upon being apprehended, Shaikh was found carrying 60 grams of Mephedrone.Officials from ANC further carried out a search in the residential premises of Shaikh and found 430 grams of Mephedrone hidden at the residence.Shaikh was interrogated and he revealed the name of his accomplice identified as Rohit Soni.Around 18 grams of Mephedrone was found from Soni.Both the accused are being interrogated for details regarding the supplier of the drugs.",2022-04-27
33,Kolkata: Refrigerator set up for providing cool drinking water to locals amid scorching heat,"With temperatures soaring as high as 40 degrees in various parts of the country, a Kolkata resident has come up with an initiative to make sure that people in his locality of Alimuddin Street, a busy area in the city, get cold water to quench their thirst.A fridge that can hold up to 40 bottles of 500 ml each has been kept on the bylane of Alimuddin Street.Tousif Rahman, a social worker, has kept a fridge where locals can keep their bottles. However, the locals and Rahman state that it is not only for locals but anyone who passes from the area.""The main objective is to provide cold water to anyone and everyone who needs it,"" Rahman said.Zulekha, a local, stated that many people in the area cannot afford a fridge, but this kind of initiative helps the locals. She went on to state that there is no problem with anyone drinking from anyone's bottle, even though the bottles are marked to know who owns them.However, a question that arises is who pays for the electricity and maintenance of the fridge?""At max it will be Rs 600-700 a month, but the blessings are way more than the money. I can happily provide for it,"" Rahman added.READ MORE | Temperature shoots past 43 degrees Celsius in Odisha; heatwave conditions likely from April 27-30",2022-04-27
34,Iga Swiatek pulls out of the Madrid Open citing shoulder injury,"Poland’s Iga Natalia Swiatek has pulled out of the Madrid Open due to an injury to her right shoulder. Earlier this month, the 20-year-old World No.1 defeated Belarusian star Aryna Sabalenka 6-2, 6-2 in the final of the Stuttgart Open. The Warsaw-born tennis player also defeated former World No.1 Naomi Osaka in straight sets in the final of the Miami Open in April.Swiatek clearly said that she doesn’t want to compromise on her fitness ahead of the upcoming edition of the French Open, starting May 22 at Roland Garros. The youngster reckoned that she needs some time off to get back in shape ahead of the clay court tournament next month.""Basically, it's not like we have some drama because everything is okay. You can see in Stuttgart that I'm basically doing fine. We just thought that this is the best decision for me to recover properly because I didn't really have time to recover after all these tournaments.“After each of them I had like two days to chill out and then I had to come back to work and adjust to so many different things in every place,” Swiatek was quoted as saying to the reporters at Media Day in Madrid.""So basically, right now I feel like this is the best decision for us to get ready for Rome and have the peak of my form in Roland Garros,"" she added.She also took to her official Twitter handle to put forth her decision of not taking part in the Madrid Open in order to take care of her health.Unfortunately my team and I decided that I need to withdraw from Madrid. I hope to see you next year.Razem z moim teamem zdecydowalimy, e niestety wycofam si z turnieju w Madrycie. pic.twitter.com/SQ4lJUwhPdApart from winning the Stuttgart Open and Miami Open, Swiatek also came up trumps in the Qatar Open and Indian Wells Masters. While in Qatar, she defeated Estonia’s Anett Kontaveit 6-2, 6-0, she handed Greece’s Maria Sakkari a 6-4, 6-1 defeat at the Indian Wells Tennis Garden in Indian Wells, California.Earlier this month, Swiakek became the first Polish player to be ranked No.1 after she triumphed at Miami over Japan’s Osaka, who’s ranked No.36 currently.",2022-04-27
35,'What if I had tweeted in Kannada'. Kiccha Sudeep asks Ajay Devgn,"A Twitter spat has broken out between Bollywood actor Ajay Devgn and Kannada star Kiccha Sudeep. Context? Kiccha Sudeep, in an exclusive interview with KarnatakaTak, said that “Hindi is no more a national language”. Twitter stood divided as some spoke in favour of Kiccha Sudeep, while others him. Following this, Ajay Devgn wrote in Hindi that he did not agree with Kiccha Sudeep's statement. And soon, an onslaught of tweets ensued, with Kiccha Sudeep finally mentioning that he wanted the matter to rest. But, not without adding in wonderment if Ajay would have understood had Kiccha Sudeep tweeted in Kannada.After Kiccha Sudeep’s ‘Hindi is no more a national language' comment, Ajay Devgn tweeted that he opposed the former’s thoughts. Replying to Ajay, Kiccha Sudeep wrote, “Hello @ajaydevgn sir.. the context to why i said tat line is entirely different to the way I guess it has reached you. Probably wil emphasis on why the statement was made when I see you in person. It wasn't to hurt,Provoke or to start any debate. Why would I sir (sic).""In the next tweet, he wrotead, “I love and respect every language of our country sir. I would want this topic to rest,,, as I said the line in a totally different context. Mch luv and wshs to you always. Hoping to seeing you soon (sic).”Kiccha Sudeep’s last tweet in the series mentions that he understood Ajay’s text written in Hindi and it is because the language is respected, loved and learnt. He wondered what Ajay’s response would be if he replied in Kannada. “And sir @ajaydevgn,,I did understand the txt you sent in hindi. Tats only coz we all have respected,loved and learnt hindi. No offense sir,,,but was wondering what'd the situation be if my response was typed in kannada.!! Don't we too belong to India sir (sic).”Hello @ajaydevgn sir.. the context to why i said tat line is entirely different to the way I guess it has reached you. Probably wil emphasis on why the statement was made when I see you in person. It wasn't to hurt,Provoke or to start any debate. Why would I sir https://t.co/w1jIugFid6And sir @ajaydevgn ,,I did understand the txt you sent in hindi. Tats only coz we all have respected,loved and learnt hindi.No offense sir,,,but was wondering what'd the situation be if my response was typed in kannada.!!Don't we too belong to India sir.Kiccha Sudeep, in an exclusive interview with KarnatakaTak, said that “Hindi is no more a national language”, in the wake of South films shattering records at the box office. This didn’t go down well with Ajay Devgn, who tweeted to Sudeep, “Kiccha Sudeep, my brother, according to you if Hindi is not our national language then why do you release your native language (mother tongue) films by dubbing them in Hindi? Hindi was, is and always will be our mother tongue and national language. Jan Gan Man (sic).”.@KicchaSudeep ,?,Ajay Devgn and Kiccha Sudeep’s tweets are going viral on social media.",2022-04-27
36,Temperature shoots past 43 degrees Celsius in Odisha; heatwave conditions likely from April 27-30 ,"There seems to be no respite from the heatwave conditions for the residents of Odisha as the mercury crossed the 43 degrees Celsius mark in at least nine places in the state.As per the prediction by the India Meteorological Department (IMD), severe heatwave conditions are expected to prevail in the state for the next 4-5 days.Odisha continued to reel under severe heatwave conditions as the maximum temperature crossed the 40 degrees Celsius mark in as many as 22 places in the state, as per IMD data.While 14 places recorded a maximum day temperature of 42 degrees or more, nine places recorded a maximum day temperature of more than 43 degrees Celsius.At 44.5 degrees Celsius, the highest temperature was recorded in Boudh, informed Regional Director Met Department, Habibur Rahman Biswas.i) Heat wave conditions over East, Central & Northwest India during next 5 days:v Vidarbha, Rajasthan & Madhya Pradesh during next 5 days;v Uttar Pradesh, Jharkhand, interior Gangetic West Bengal & interior Odisha during 27th-30th April; pic.twitter.com/K2vcnltbLmIn its latest bulletin, the MeT Centre said heatwave conditions are very likely to prevail in north interior and coastal areas of the state till April 30.""The daytime temperature is likely to rise by 1-2 degrees Celsius in interior areas. Heatwave is unlikely in southern and coastal regions as a few places may receive rainfall during the next five days,"" said MeT director.“Heat is tolerable for the general public but there is a slight health concern for vulnerable people ( infants, elderly and sick people). It is advised to avoid heat exposure, keep cool and avoid dehydration. Farmers are advised to continue irrigation activities in sugarcane, summer maize, pulses and other crops and vegetables,” the advisory issued by SRC stated.“Situation may be closely monitored and action as deemed necessary be taken,” the SRC’s advisory further read.Special Relief Commissioner Pradeep Kumar Jena has issued an alert for collectors to monitor the situation in their respective districts.The maximum temperature is likely to remain above normal by 3 to 5 degrees Celsius at many places in districts of interior Odisha and is likely to be above normal by 2 to 3 degrees at a few places in coastal Odisha during the next 4 to 5 days, said the IMD.READ MORE| Odisha: Mercury breaches 40°C in 21 places, Sonepur hottest at 44.4°C",2022-04-27
37,Fact Check: Was Boris Johnson the first British PM to visit Gujarat? News sites fall for faulty info,"Following Boris Johnson’s recent Gujarat visit, many national and international media outlets claimed that he was the first British Prime Minister to visit the western Indian state.Among the ones calling him “the first UK PM to visit Gujarat” were publications like the BBC, The Times of India, and The Economic Times.Industrialist Gautam Adani too amplified this claim. The archived version of his tweet can be seen here.Honoured to host @BorisJohnson, the first UK PM to visit Gujarat, at Adani HQ. Delighted to support climate & sustainability agenda with focus on renewables, green H2 & new energy. Will also work with UK companies to co-create defence & aerospace technologies. #AtmanirbharBharat pic.twitter.com/IzoRpIV6nsThe India Today Anti Fake News War Room (AFWA) found the claim was untrue. The British High Commission confirmed to India Today that in 1978, then British PM James Callaghan visited Ahmedabad as a guest of then Indian PM Morarji Desai.It is noteworthy that when we checked the official website of the UK government, we found the claim that Johnson was the first British PM to visit Gujarat there as well. This was later fixed.As we began investigating the viral claim when we found a tweet by the Ahmedabad-based historian Patrick French where he pointed out that former PM Morarji Desai had received then UK PM James Callaghan in Ahmedabad in 1978.The press are saying this is the first visit by a UK PM to Gujarat, how could they forget that Morarji Desai took Jim Callaghan to Ahmedabad in 1978. pic.twitter.com/U5sN4m9zg4A New York Times report from January 8, 1978, stated that Callaghan was scheduled to travel with Desai to Gujarat.Johnson stated in his official statement post the India tour that he was the first Conservative British Prime Minister to visit Gujarat.He said, “My friend, Prime Minister Modi, Narendra, my khaas dost — is the phrase I wanted in Hindi. We’ve had a fantastic two days in India. And yesterday I became the first Conservative British Prime Minister to visit Gujarat, your birthplace, of course, Narendra, but, as you just said, the ancestral home of around half of all British Indians.”Additionally, while speaking with Channel 4, when the interviewer said, “You’re the first Prime Minister to”, Johnson interrupted him and finished the sentence: “Come to Gujarat since 1978. How about that? I bet you weren’t gonna say that.”Correction made in the British government websiteAs we mentioned earlier, the official website of the UK government stated that Johnson was the first British PM to visit Gujarat. When we contacted the British High Commission about this, it confirmed to India Today that in 1978, former Prime Minister James Callaghan visited Ahmedabad as a guest of the then Indian PM Morarji Desai.Subsequently, the High Commission corrected the information given on the website from, “This will be the first time a UK Prime Minister has visited Gujarat,” to “This will be the first time a UK Prime Minister from the Conservative Party has visited Gujarat.”Thus, we concluded that the claim of Boris Johnson being the first British PM to visit Gujarat was totally false.(With inputs from Yash Mittal)The number of crows determines the intensity of the lie.",2022-04-27
38,"Amritsar: Class 12 student shot dead, probe underway","A Class 12 boy was shot dead in Amritsar's Fatehgarh Churian area on Monday.The deceased was identified as Ajay.The incident took place on Monday evening when he had gone out with his two friends. After he did not return home, his family members started a search for him. They tried calling his phone, but his number was switched off.They filed a missing person complaint at the police station.Based on the complaint, the police started an investigation. The boy’s body was found near an FCI godown the next day. He had gunshot injuries.During the investigation, the victim’s family members revealed that he had an old rivalry with someone, due to which he had a fight before as well.A case was registered under relevant sections of the IPC and further investigations are underway.READ MORE | Delhi: Online IPL cricket betting racket busted, three held",2022-04-27
39,"Delhi: Online IPL cricket betting racket busted, three held ","Delhi Police on Tuesday arrested three people involved in an IPL betting racket in the Vijay Vihar area. The accused are identified as Tarun, Deepak and Dinesh Khatri.The police have recovered 5 mobile phones, 1 Laptop, 1 LED TV, Rs 1,09,260 cash from the possession.Information was received by police that an IPL cricket betting racket was being operated in Delhi’s Vijay Vihar. A team was constituted and a raid was conducted.The three accused were caught red-handed playing IPL betting.A case of the Gambling Act has been registered and all the accused are arrested.",2022-04-27
40,India Today TV reporter turns rescuer during fire at hospital in Chennai,"When a fire broke out at Rajiv Gandhi Government Hospital in Chennai on Wednesday afternoon, India Today TV reporter Pramod Madhav rushed to the spot to bring you the latest updates.However, when he saw that the fire service personnel were overworked and patients were stranded on the boiling terrace under the harsh sun, he went above and beyond the demands of his job and helped out with the rescue operation.Pramod Madhav, along with other reporters and camerapersons, carried the sick and elderly out of the hospital and to safer places, despite the risk of the smoke that the fire left behind.With the efforts of the rescue personnel and others like Pramod Madhav who pitched in, all patients were safely evacuated and no casualties were reported.Watch India Today's Hero Reporter | Saved lives while reporting the story!#Chennai | @snehamordani, @PramodMadhav6 pic.twitter.com/FtnJ24k7FbSpeaking on the incident, Pramod Madhav said, “As it was a chemical fire, nobody could go near since it was irritating the eyes and respiratory system. There were very few fire service personnel and they were overworked. That’s why we pitched in. We assisted hospital personnel who were trying to carry those who were stranded, especially those who couldn’t walk, out of the hospital.”He added, “The fire service, which did a commendable job, was trying to put out the fire in the front. When we went to the backside, we saw nearly 70 people were stranded on top of the building in the harsh heat. We noticed that since it was an old building, they couldn’t find an emergency exit. So, us media people who had gone to report tried to help move them to the shade. Later, large cranes were brought by the state government to rescue them.”",2022-04-27
41,Does Congress have a Plan B after the Prashant Kishor fiasco?,"The Congress's failure to team up with poll strategist Prashant Kishor would go down as a case of missed opportunity or a ‘historic blunder.’What is more troubling for the grand old party is the absence of a ‘plan B’ to streamline the leadership issue and preparations for the 2024 general elections. There are nearly 12 state assembly polls lined up before 2024 including Rajasthan and Chhattisgarh, where the party is in power.The internal disquiet in Rajasthan, the rise of the Aam Aadmi Party in states like Gujarat and uncertain fortunes in Karnataka, Telangana, Himachal Pradesh etc., make the Congress under the Gandhis far more vulnerable.There is also speculation over G 23 renewing their agitation or convening a workers' meeting to force the leadership issue.ALSO READ | Prashant Kishor, Congress walk their separate ways | RecapThe prospects of Rahul Gandhi returning as the 87th AICC chief for the 2022-27 term remain ambiguous. The Congress organisational polls are due in August 2022 but Rahul is yet to make up his mind. If he contests the Congress’ presidential polls, his victory [perhaps unanimous] would be a foregone conclusion, but electoral performance in Gujarat, Karnataka, Telangana etc., may further erode his credibility within the Congress Parivar.If the Gandhis decide to prop up a non-Gandhi as leader of the Congress, the gesture would be seen as taking a leaf from Kishor’s recommendation. In fact, the public display of Kishor’s reported suggestions, prescriptions etc., has the potential to haunt Congress for a long time, as the party may get criticism for opting for his measures without giving credit.There is already a lot of speculation that talks with Kishor fell through because party bigwigs were opposed to giving him a free hand or a fancy designation or access to the party’s coffers [yes you read it right :) it is still something to be sought after!].ALSO READ | The PK-Congress deal: What went wrong | Inside storyIt is significant to note that, unlike a narrative perpetuated by a section of media, Kishor was not rejected by the grand old party on the grounds of the tactician’s ideology [rather the lack of it] or his professional dealings with the Indian Political Action Committee [I-PAC].Kishor was offered a place in the Congress and a membership in the high-profile ‘Empowered Action Group’ tasked to strategise for the 2024 Lok Sabha polls. If there was any doubt about his integrity or association with I-PAC, the offer to join the Congress would not have been made in the first place.AICC general secretary and media department head Randeep Surjewala’s tweet bears testimony to it when he wrote, “Following a presentation & discussions with Sh. Prashant Kishor, Congress President, has constituted an Empowered Action Group 2024 & invited him to join the party as part of the group with defined responsibility.”The confrontation seems to be on his role and mandate where Kishor’s perception or expectations differed with the Congress high command. Kishor, in his presentation, had made a strong case for organisational revamp, settling of the leadership issue and the issue of forging alliances, the Congress focusing on 370 Lok Sabha seats etc.ALSO READ | Prashant Kishor declines Congress offer, won't join partyInterestingly, Kishor was approached by the Gandhis and not the party organisation. It is an open secret that the Gandhi trio Sonia, Rahul and Priyanka - carry enough political heft to push through anything they wish for. A classical case being Rahul’s 2019 election slogan, “chowkidar chor hai” which was not discussed or deliberated upon by any party fora.Post elections, Rahul had gone on record expressing his disappointment with party leaders’ failure to amplify the 'chowkidar Chor hai’ slogan.This was for the third time that the Congress and Kishor have tried establishing functional ties.In 2017, Kishor tried organising the Congress campaign in Uttar Pradesh. The outcome was disastrous.However, the Gandhis continued to talk to him. Throughout 2021, Kishor had a series of meetings with Sonia Gandhi where he harped on the theme of a major organisational overhaul, institutionalisation of ticket distribution system, poll alliances, fundraising etc.On his part, Kishor kept meeting a number of disgruntled party leaders known as G-23, AICC office bearers, regional satraps, and young guns directly. Sonia Gandhi then appointed a three-member committee comprising A K Antony, Mallikarjun Kharge, Ambika Soni to explore the possibility of his involvement with the Congress.A member of the panel had then told this columnist that a number of middle-rung and younger leaders had backed the move to draft Kishor but there were “muted voices” that the grand old party should not be seen as outsourcing its political activities to the new entrant.So, subject to Prashant Kishore getting a 'free hand,' PK focusing on 2024, leading the Congress charge, had been on ‘active consideration’ for over a year.On April 16, 2022, talks between Kishor and Sonia resumed. Just as it looked like the two sides were serious about forging a broad-based opposition alliance against BJP-NDA, some Congress leaders started expressing reservations on the grounds that a ‘free hand’, outsourcing political campaigns etc., may bring ‘bad optics.’Sonia Gandhi, having gone a bit too far, fell upon her favourite penchant -- committee raj. Acting on the advice of A K Antony, Digvijaya Singh and others, she proposed a 17-member empowered Action Group with Kishor as a member with a condition that he should formally join the party.In Kishor’s scheme of things, perhaps it was a case of too little. The tactician, having worked with many politicians, possibly viewed direct access to the top leadership as more functional than hierarchical or as a status symbol. If there is a next time, Kishor would need a full-fledged orientation ‘course’ in Congress’ palace intrigue, internal dynamics and politicking.",2022-04-27
42,Aashka’s new workout video is so inspiring. Hubby Brent reacts,"Aashka Goradia is a fitness freak. Her workout routine is a mix of yoga asanas and pole dance. The actress even shares glimpses of her intense exercise sessions regularly on Instagram to inspire her fans and followers.On Tuesday, she shared a video of herself performing an inversion pose with the support of a pole. Must we add, she absolutely nailed the difficult exercise!Watch her video here:A post shared by Aashka Goradia Goble (@aashkagoradia)In the video, she balanced her body on her hands with the support of a pole behind her. She also moved her legs in the air. We are also in love with her stylish yet comfy workout outfit. She opted for a black bralette and a pair of red shorts. She even wore a pair of red-and-white striped socks.Since being posted, her video has garnered over 2k likes and over 31k views. Her husband Brent Goble was also impressed with his wife’s workout video and expressed the same in the comments section. He commented with two red heart emoticons.See his comment here:If you have been feeling too lazy to work out lately, you must definitely watch some workout-related videos posted on Aashka Goradia’s Instagram feed.Sample these:A post shared by Aashka Goradia Goble (@aashkagoradia)A post shared by Aashka Goradia Goble (@aashkagoradia)A post shared by Aashka Goradia Goble (@aashkagoradia)Aashka Goradia has worked in several television shows such as Kyunki Saas Bhi Kabhi Bahu Thi, Naagin and Kkusum.",2022-04-27
43,Vivek Agnihotri's The Kashmir Files to release in Israel on April 28,"The Kashmir Files, which released in the theatres in India on March 11, got a thunderous response. Based on the exodus of Kashmiri Hindus during the Kashmir insurgency in 1990, the film is now set to release in Israel. Directed by Vivek Agnihotrr, The Kashmir Files stars Anupam Kher, Darshan Kumaar, Mithun Chakraborty and Pallavi Joshi.Ever since its release, The Kashmir Files has created a huge noise among the audience and broken several records at the box office. Now, the Vivek Agnihotri directorial venture is all set to hit cinemas in Israel on April 28.Speaking about the film, the lead actor Anupam Kher in a promotional video said “Shalom and Namaste to my friends in Israel. As you know, our film The Kashmir Files is releasing in your country. It’s a very important film of our time. It’s about the genocide of Kashmiri Hindus from Kashmir in 1990. And the world has given its love to the film and has helped us to heal to some extent. And now in Israel as the film was released, I request you to watch the film in the theatre and give it all the love. It is directed by Vivek Agnihotri.""The Kashmir Files is based on the life of Kashmiri Pandits in 1990, during the Kashmir insurgency. The film is a true story, based on video interviews of the first generation victims of The Kashmir Genocide of the Kashmiri Pandit Community. It’s a heart-wrenching narrative of the pain, suffering, struggle and trauma of Kashmiri pandits which also questions eye-opening facts about democracy, religion, politics and humanity.Produced by Zee Studios and Tej Narayan Agarwal, Abhishek Agarwal, Pallavi Joshi, and Vivek Ranjan Agnihotri, The Kashmir Files is written and directed by Vivek Agnihotri.",2022-04-27
